Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.0302,7.26784,14.9379,2.59978,29.37,29.37,0,0,,188.116,738.112,141.378,58.19,54.34,15.6242,36.8136,0.490982,7.26634,233.19,11.1565,1.76127,6.33435,0.747505,0.315928,0.0498754,0.26605284586548805,0.203705,0.947242,0.282454,0.767677,,,2.43862,6.82637,6.39166,6.760000228881836,,,,,,,1161.8000000000002,6.179787234042554,1066,5.670212765957447,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3775,8.53359,14.3581,3.08983,29.795,29.795,0,0,,184.175,743.381,149.324,67.49,63.23,17.0187,47.2569,0.45773,5.07697,219.743,10.7381,2.30928,4.64997,0.831648,0.295599,0.0635702,0.23202913254499435,0.216083,1.06736,0.291238,0.74725,,,2.80262,5.7992,5.0011,10.199999809265137,,,,,,,1049.1000000000004,5.7016304347826114,983,5.342391304347826,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.2193,7.58158,14.948,3.07006,28.98,28.98,0,0,,184.98,749.5,162.739,68.11,63.1,13.8,43.574,0.47024,5.92187,188.792,9.18547,2.12005,4.33267,0.671426,0.251891,0.0581375,0.19375305250287056,0.232483,1.11533,0.299428,0.739082,,,2.86648,5.14719,4.96138,25.59000015258789,,,,,,,1001,5.410810810810811,971,5.248648648648649,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Garrett Crochet","BOS",13.0917,8.24368,14.3569,3.26006,28.875,28.875,0,0,,180.411,727.806,149.623,70.23,65.35,20.5593,41.3743,0.523587,6.11085,214.376,10.6944,2.064,5.18138,1.02563,0.294551,0.056848,0.23770281672477722,0.21993,1.05868,0.289779,0.744492,,,3.02968,5.08759,4.37896,11.869999885559082,,,,,,,970.7,5.392777777777778,914,5.0777777777777775,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.5202,8.94287,15.9612,3.36015,29.882,29.882,0,0,,192.768,791.33,177.386,77.23,71.97,16.3076,47.1411,0.837197,5.80808,191.964,8.96245,2.20094,4.0721,0.761371,0.242584,0.059572,0.18301155790686607,0.240237,1.16475,0.303859,0.730291,,,3.06728,4.99762,4.47817,59.650001525878906,,,,,,,996.2,5.161658031088083,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",10.8741,7.66386,12.3187,3.56002,25.49,25.49,0,0,,156.134,643.526,129.295,66.13,61.76,16.8497,41.7685,0.412238,11.9924,203.248,11.7158,2.40765,4.86606,0.971266,0.315835,0.0649057,0.2509289011359215,0.219231,1.09562,0.304179,0.71154,,,2.96755,4.4847,3.19625,39,,,,,,,853.9000000000002,5.47371794871795,803,5.147435897435898,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.1973,8.38394,14.6318,3.39014,29.242,29.242,0,0,,182.727,732.558,150.491,73.33,68.83,24.1697,36.7466,0.492081,7.40459,188.65,9.29174,1.80991,5.13382,1.19045,0.257522,0.050162,0.20736050605773926,0.218608,1.02469,0.265612,0.742554,,,3.51472,4.36642,4.24524,35.2400016784668,,,,,,,915,5,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5899,7.63666,14.3238,3.24014,28.609,28.609,0,0,,179.409,738.482,151.085,69.38,64.59,14.4785,55.1647,0.471851,9.37826,172.95,8.67599,2.76732,3.13516,0.726308,0.234197,0.0747001,0.15949668735265732,0.224182,1.14961,0.280788,0.735938,,,3.33551,4.24072,4.42385,50.599998474121094,,,,,,,913.8000000000001,5.105027932960894,867,4.843575418994414,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.2725,8.17162,12.2801,3.37003,28.971,28.971,0,0,,168.114,689.994,129.554,67.12,62.95,18.3594,62.0694,0.575197,4.38435,199.126,10.6602,3.32289,3.20812,0.982871,0.288591,0.0899563,0.19863425940275192,0.207772,1.13984,0.273842,0.750381,,,3.37177,4.14636,3.89115,74.7300033569336,,,,,,,883.8,5.260714285714285,806,4.7976190476190474,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12.1091,8.85099,13.5442,3.6701,29.237,29.237,0,0,,175.213,725.607,152.611,77.23,71.45,20.7278,51.4516,0.491391,7.03583,194.263,9.9785,2.64286,3.77564,1.0647,0.267724,0.0709083,0.19681600481271744,0.228761,1.16466,0.291694,0.724577,,,3.45702,4.05088,3.25993,73.25,,,,,,,852.9000000000001,4.8737142857142866,816,4.662857142857143,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6722,7.89953,11.404,3.39973,26.135,26.135,0,0,,153.462,626.514,116.499,61.84,57.97,19.3551,50.1649,0.502793,6.98105,194.464,11.4046,2.94199,3.8765,1.13511,0.310391,0.0800698,0.2303209900856018,0.204611,1.08603,0.273223,0.751066,,,3.35751,3.90215,3.43482,46.97999954223633,,,,,,,813.9,5.319607843137255,735,4.803921568627451,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",13.0041,8.61756,15.4691,3.34018,28.68,28.68,0,0,,185.972,767.957,159.991,74.53,69.02,14.2284,59.5403,0.512025,9.99823,169.927,8.22351,2.88142,2.85398,0.688574,0.221272,0.0775308,0.14374074339866638,0.229077,1.18046,0.283441,0.726418,,,3.42405,3.85525,4.22563,84.66999816894531,,,,,,,918.2,4.936559139784946,878,4.720430107526882,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12.9131,6.28435,12.4033,3.35994,26.407,26.407,0,0,,160.369,656.958,132.7,64.05,59.87,15.9338,51.3768,0.3877,4.11058,178.219,10.0018,2.8833,3.46887,0.894213,0.27128,0.0782041,0.19307547062635422,0.220627,1.14784,0.286672,0.741963,,,3.24216,3.84699,3.68963,27.1200008392334,,,,,,,832.4000000000001,5.202500000000001,783,4.89375,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.4658,8.35121,12.3665,3.57004,27.888,27.888,0,0,,164.267,661.952,133.24,69.65,65.16,24.349,38.7375,0.516784,6.08419,200.416,10.9806,2.12238,5.1737,1.33405,0.302765,0.0585201,0.2442452721297741,0.215903,1.04694,0.277525,0.742102,,,3.44055,3.81907,3.28932,35.65999984741211,,,,,,,837.6000000000001,5.107317073170733,773,4.713414634146342,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Jacob deGrom","TEX",10.8385,7.93448,12.1167,3.45012,26.006,26.006,0,0,,157.038,629.771,124.108,63.84,60.2,19.8459,40.3977,0.452677,2.55239,174.7,10.0122,2.31523,4.3245,1.13739,0.277402,0.0641466,0.21325545012950897,0.211491,1.04755,0.265787,0.736282,,,3.37359,3.78835,3.4841,48.91999816894531,,,,,,,814.4,5.187261146496815,746,4.751592356687898,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"George Kirby","SEA",11.2157,8.52377,12.4441,3.70026,27.791,27.791,0,0,,163.91,671.064,148.577,71.93,67.39,19.551,34.6775,0.44468,6.9897,159.529,8.75946,1.90408,4.60037,1.07351,0.237726,0.0516753,0.18605057150125504,0.236063,1.11802,0.286524,0.714155,,,3.50184,3.78271,3.07142,65.73999786376953,,,,,,,774.2000000000002,4.720731707317074,754,4.597560975609756,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Hunter Brown","HOU",11.7978,9.36803,14.1009,3.72987,29.261,29.261,0,0,,178.317,743.263,153.825,78.75,73.9,19.6174,61.4179,0.547867,6.86327,188.97,9.53769,3.09988,3.0768,0.990127,0.254244,0.0826328,0.17161139845848083,0.227895,1.20708,0.287755,0.726882,,,3.59459,3.71279,3.24273,36.97999954223633,,,,,,,844.8000000000001,4.746067415730337,804,4.51685393258427,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",11.1452,8.82659,12.8083,3.71988,27.977,27.977,0,0,,166.578,687.924,149.288,73.89,68.85,19.8191,45.5427,0.421427,4.82089,169.657,9.16633,2.46062,3.72522,1.0708,0.246621,0.0662031,0.18041777610778809,0.234154,1.1696,0.288937,0.723831,,,3.55192,3.56531,3.05427,134.75,,,,,,,789.4,4.726946107784431,762,4.562874251497006,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Joe Ryan","MIN",9.96947,10.0273,13.3239,4.11979,27.993,27.993,0,0,,168.125,695.978,150.247,82.39,76.96,26.8998,40.7318,0.44141,7.43277,186.439,9.98037,2.18044,4.57723,1.43999,0.26788,0.0585245,0.2093556933104992,0.231929,1.13593,0.2839,0.708254,,,3.8567,3.53451,2.27307,79.73999786376953,,,,,,,749.0999999999999,4.4589285714285705,717,4.267857142857143,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
