Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.111,637.707,517.885,148.858,75.3084,24.1481,0.756185,48.6451,104.904,117.76,108.428,18.2188,159.169,5.98771,4.28457,0.517038,9.03211,8.04874,2.88091,0.287434,0.170028,0.249596,0.681214,0.413572,0.618773,0.426439,1.03234,0.331339,3.49,0.318788,,-0.702259,134.055,58.7052,179.43,-0.702259,-2.34,58.99802362918854,-9.350192785263062,7.32524,1.909999966621399,,,,,,,1201.1,8.283448275,1201.1,8.283448275,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",149.964,623.634,538.716,126.316,59.1576,23.0181,0.48273,43.6572,87.5266,110.986,73.5213,6.88848,170.68,6.20114,4.3988,0.507143,6.43114,7.77359,2.29475,0.234475,0.117892,0.273687,0.430754,0.330806,0.522113,0.359258,0.852919,0.287638,3.5043,0.251412,,-0.256387,97.0814,23.3942,138.555,-0.256387,14.95,28.08247610926628,21.703858375549316,7.28985,18.040000915527344,,,,,,,896.5,5.976666666,896.5,5.976666666,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.484,660.136,559.969,159.222,80.3245,26.4646,5.59487,46.8381,122.062,115.901,89.635,13.4592,155.856,4.77889,3.63435,0.742485,8.50331,23.2429,10.6263,0.284341,0.135783,0.236097,0.575114,0.385455,0.602516,0.410249,0.987971,0.318176,6.23915,0.311391,,-0.767772,130.093,52.0929,167.128,-0.767772,0,51.75319713354111,-14.016881942749023,6.10798,1.2200000286102295,,,,,,,1179.7,7.970945945,1179.7,7.970945945,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.765,678.279,547.289,145.959,83.0932,24.8438,0.638654,37.3831,106.909,97.1487,121.869,8.89387,120.909,4.16722,3.86599,1.08761,13.8158,17.3793,5.71444,0.266694,0.179674,0.178258,1.00794,0.401652,0.51934,0.393136,0.920992,0.252646,4.05881,0.27637,,-0.186187,124.244,44.1006,158.197,-0.186187,-2.99,46.59864856302738,-10.350013494491577,6.01753,4.639999866485596,,,,,,,1090.1,7.032903225,1090.1,7.032903225,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",151.414,660.092,599.352,170.715,101.278,36.2408,6.08751,27.1081,100.361,90.9357,47.7272,5.00543,113.846,6.40998,5.74153,0.861796,6.88571,34.9599,9.94101,0.284832,0.0723039,0.172469,0.419227,0.341082,0.5013,0.357348,0.842382,0.216467,7.11512,0.309404,,1.92802,101.733,23.7378,127.691,1.92802,3.65,23.471144437789917,10.659907341003418,5.8165,3.0199999809265137,,,,,,,951.5,6.301324503,951.5,6.301324503,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",151.546,659.331,597.875,165.433,103.718,28.1825,3.85911,29.6738,96.1369,90.5928,47.8213,3.64276,147.945,9.22523,3.85529,0.554558,11.1926,25.2573,7.13762,0.276703,0.0725301,0.224386,0.323238,0.337717,0.485646,0.35197,0.823363,0.208944,6.10049,0.320104,,1.09122,98.737,20.8319,133.535,1.09122,0.52,27.15085279941559,2.6677606105804443,5.37261,9.550000190734863,,,,,,,910.9,5.992763157,910.9,5.992763157,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.564,659.146,582.564,156.739,92.6518,33.1541,3.85311,27.0798,96.7198,82.7874,64.9901,3.18233,141.925,5.70515,5.35361,0.533031,11.9818,20.3221,5.22412,0.26905,0.0985974,0.215317,0.457919,0.345323,0.47864,0.353051,0.823963,0.20959,5.8518,0.309513,,0.8677,99.2875,21.4043,129.192,0.8677,-1.33,23.54616153240204,5.733147978782654,5.31678,12.229999542236328,,,,,,,905.5,5.918300653,905.5,5.918300653,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"José Ramírez","CLE",150.798,649.666,577.061,159.877,93.8968,33.5051,3.14779,29.3276,94.2807,89.8893,61.3101,14.9483,74.1664,4.4921,5.90263,0.71195,7.05893,32.8117,10.4865,0.277055,0.0943717,0.114161,0.826656,0.34786,0.498493,0.354745,0.846353,0.221439,5.92105,0.27228,,1.31234,98.7531,21.99,130.099,1.31234,0.6,24.35927402973175,1.1997756361961365,4.90276,5.739999771118164,,,,,,,937,6.205298013,937,6.205298013,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",124.021,531.47,458.706,126.631,74.7385,23.7619,0.781178,27.3492,70.7222,83.3411,59.3606,8.5125,98.1819,4.65709,4.32469,0.490694,10.3995,1.83567,0.717547,0.276061,0.111691,0.184737,0.604598,0.361729,0.510137,0.368695,0.871865,0.234076,2.64292,0.294168,,-0.78654,86.8059,24.0086,139.929,-0.78654,-0.09,24.225006937980652,3.9977218210697174,4.75907,96.63999938964844,,,,,,,774.3,6.244354838,774.3,6.244354838,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Francisco Lindor","NYM",140.706,620.836,547.421,142.007,86.7106,26.8404,1.5938,26.8617,87.0378,79.3199,52.8584,1.06501,115.912,9.5393,4.51012,0.686377,9.28626,22.0416,6.18138,0.25941,0.0851406,0.186703,0.456023,0.332728,0.461472,0.342551,0.7942,0.202062,5.51471,0.281419,,0.899612,88.2241,14.8675,123.544,0.899612,1.02,18.224055349826813,7.051635265350342,4.69932,26.8799991607666,,,,,,,805.7,5.714184397,805.7,5.714184397,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Kyle Tucker","LAD",142.781,620.24,527.792,143.984,83.3018,29.0197,2.06037,29.6024,96.459,88.2194,81.535,5.83087,87.4596,3.55773,5.10124,0.82704,8.8957,18.5965,5.50445,0.272805,0.131457,0.141009,0.932259,0.370683,0.503858,0.372996,0.874541,0.231053,5.08542,0.275068,,0.391936,103.471,30.1847,141.608,0.391936,0.35,30.978806525468826,-6.2602318823337555,4.64029,13.199999809265137,,,,,,,933.2,6.525874125,933.2,6.525874125,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"William Contreras","MIL",143.897,599.621,522.863,138.542,92.7048,25.9227,0.988776,18.9255,71.7463,76.1791,67.0245,2.71383,117.348,4.6419,4.1264,0.965616,14.9798,5.94765,1.7616,0.264968,0.111778,0.195703,0.571162,0.351134,0.426916,0.339303,0.77805,0.161948,3.47019,0.306146,,-0.599082,83.6283,12.7785,118.773,-0.599082,5.49,12.74265968799591,12.624372959136963,4.63645,54.849998474121094,,,,,,,736.9,5.117361111,736.9,5.117361111,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Ketel Marte","ARI",140.022,612.149,533.875,146.134,85.58,29.4741,2.653,28.4266,85.1143,93.1074,66.4086,4.38928,101.367,6.30006,4.24855,0.633839,12.6143,4.82036,1.7996,0.273723,0.108484,0.165593,0.655128,0.358269,0.498607,0.366022,0.856877,0.224884,3.9081,0.288265,,-0.788889,98.6552,26.3251,135.338,-0.788889,-0.25,24.849678456783295,-0.17876380681991577,4.60788,32.119998931884766,,,,,,,867.9,6.199285714,867.9,6.199285714,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Corbin Carroll","ARI",138.004,601.744,523.351,136.036,74.3448,27.7762,9.36682,24.5484,97.3803,75.0428,63.0929,2.58939,128.058,7.92881,3.91356,3.45788,7.28031,33.4913,7.13118,0.259933,0.10485,0.212812,0.492689,0.346085,0.48952,0.357223,0.835605,0.229588,8.25464,0.297572,,2.83536,92.6791,21.5784,129.31,2.83536,7.11,23.738909006118774,0.9102320671081543,4.57023,15.069999694824219,,,,,,,862.2,6.247826086,862.2,6.247826086,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Yordan Alvarez","HOU",129.283,552.423,470.27,139.295,79.4984,28.7334,1.03233,30.031,82.0491,87.6947,68.7157,8.89001,90.2547,7.6929,5.21751,0.527021,9.29148,3.64712,1.20024,0.296203,0.12439,0.16338,0.761354,0.390841,0.55327,0.397543,0.944112,0.257068,3.18544,0.307612,,-0.732653,103.167,37.8939,158.971,-0.732653,-0.44,37.66329324245453,-12.211138188838959,4.54939,33.290000915527344,,,,,,,916,7.100775193,916,7.100775193,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",148.445,645.902,564.397,150.383,92.7382,26.923,3.32664,27.3953,95.8225,82.3989,70.1376,3.08033,129.137,6.21415,4.19922,0.954138,12.5191,23.7943,6.58419,0.266449,0.108589,0.199933,0.543126,0.351555,0.471557,0.354406,0.823112,0.205108,5.94569,0.298468,,0.966568,98.0034,21.6851,132.104,0.966568,4.32,25.54276692867279,-2.7433552742004395,4.53129,14.199999809265137,,,,,,,879.2,5.94054054,879.2,5.94054054,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
