Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",14.0685,7.94103,14.1569,2.80005,29.795,29.795,0,0,,184.175,734.138,141.652,61.36,57.3,15.0679,45.6259,0.451966,6.53461,216.014,10.5559,2.22958,4.73445,0.736315,0.294241,0.062149,0.2320922650396824,0.207708,1.01685,0.28074,0.757707,,,2.70259,6.0326,5.71467,10.199999809265137,,,,,,,1080.9,5.874456521739131,998,5.423913043478261,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.5282,7.67782,15.0815,2.80981,29.37,29.37,0,0,,188.116,740.526,142.243,63.14,58.73,19.5009,38.8405,0.492518,6.06951,227.385,10.8788,1.85824,5.85433,0.93298,0.307059,0.0524499,0.254609365016222,0.204485,0.962616,0.273532,0.766952,,,2.78148,5.99952,5.77452,6.760000228881836,,,,,,,1095,5.824468085106383,999,5.3138297872340425,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.3511,8.025,14.2762,3.13983,28.875,28.875,0,0,,180.411,724.608,144.65,67.75,62.94,20.2212,44.5656,0.521269,5.15964,218.752,10.9127,2.2232,4.90854,1.00876,0.30189,0.061503,0.2403871901333332,0.214334,1.0488,0.285447,0.754886,,,2.99405,5.13044,4.60879,11.869999885559082,,,,,,,997,5.538888888888889,928,5.155555555555556,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.5272,8.93656,15.9612,3.36015,29.882,29.882,0,0,,192.768,792.192,179.706,77.26,71.97,15.3576,45.7157,0.838003,6.15506,184.447,8.61152,2.13438,4.03466,0.717017,0.232832,0.0577079,0.17512394487857819,0.242741,1.16939,0.304059,0.726564,,,3.06441,5.0174,4.47817,59.650001525878906,,,,,,,987.7,5.117616580310881,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",13.6945,8.0174,15.0964,3.28998,28.98,28.98,0,0,,184.98,755.967,166.358,73.03,67.62,15.9077,45.8075,0.474231,5.63959,180.867,8.7999,2.22871,3.94842,0.773973,0.239253,0.0605945,0.17865833267569542,0.236129,1.14696,0.29631,0.732698,,,3.13193,4.62681,4.38353,25.59000015258789,,,,,,,946.6,5.1167567567567565,923,4.989189189189189,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA",13.3778,8.23156,14.5705,3.3,29.242,29.242,0,0,,182.727,728.509,149.405,71.59,67,23.4661,34.7627,0.489283,6.6874,185.525,9.13782,1.71219,5.33691,1.1558,0.254664,0.0477176,0.20694658532738686,0.217456,1.00788,0.263433,0.743995,,,3.45452,4.41846,4.35888,35.2400016784668,,,,,,,929.9000000000002,5.081420765027324,862,4.7103825136612025,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Logan Gilbert","SEA",11.7568,8.09245,12.2626,3.41006,27.888,27.888,0,0,,164.267,659.586,133.123,66.57,62.24,21.4076,37.8747,0.514863,5.16244,192.816,10.5642,2.07511,5.09089,1.1729,0.292329,0.057422,0.23490680754184723,0.215916,1.04097,0.277673,0.740479,,,3.26772,4.16104,3.62085,35.65999984741211,,,,,,,866.5000000000002,5.283536585365855,804,4.902439024390244,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Chris Sale","ATL",10.7421,7.77953,12.3543,3.61997,25.49,25.49,0,0,,156.134,644.139,132.21,67.3,62.8,17.6472,44.1451,0.412546,8.27043,192.288,11.084,2.54465,4.35581,1.01723,0.298519,0.0685335,0.22998564690351486,0.223432,1.12951,0.300069,0.719128,,,3.14848,4.06068,3.08612,39,,,,,,,817.8,5.242307692307692,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.7839,7.79643,11.3796,3.35985,26.135,26.135,0,0,,153.462,631.297,119.945,61.18,57.29,16.8668,54.7159,0.506561,4.93394,192.61,11.2959,3.20889,3.52018,0.989178,0.305102,0.0866723,0.21842967718839645,0.209824,1.13814,0.284613,0.751294,,,3.21984,4.01603,3.54702,46.97999954223633,,,,,,,817.1000000000001,5.340522875816994,750,4.901960784313726,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",13.0638,6.15852,12.3418,3.26004,26.407,26.407,0,0,,160.369,654.72,131.78,62.32,58.09,15.228,48.8886,0.386308,5.24644,175.028,9.82265,2.74366,3.58013,0.854604,0.267332,0.0746711,0.19266119599342346,0.21942,1.12658,0.284046,0.742699,,,3.19945,4.01507,3.91685,27.1200008392334,,,,,,,844.3,5.2768749999999995,793,4.95625,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Jesús Luzardo","PHI",11.9969,8.95027,13.5851,3.7302,29.237,29.237,0,0,,175.213,728.046,152.429,78.44,72.62,21.2184,55.3312,0.492998,5.44259,196.193,10.0777,2.84215,3.54579,1.0899,0.269479,0.0759996,0.19347897171974182,0.228436,1.18576,0.291669,0.726295,,,3.51053,3.93287,3.15179,73.25,,,,,,,853.5,4.877142857142857,814,4.651428571428571,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Hunter Brown","HOU",12.1015,9.10493,13.9919,3.56988,29.261,29.261,0,0,,178.317,737.516,149.039,75.35,70.73,19.2373,60.5498,0.54359,7.06096,193.238,9.75311,3.05607,3.19139,0.970945,0.262013,0.0820997,0.17991278320550919,0.222478,1.17537,0.283764,0.734925,,,3.50774,3.92322,3.68002,36.97999954223633,,,,,,,878.1,4.933146067415731,825,4.634831460674158,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13.4596,7.74905,14.3571,3.2898,28.609,28.609,0,0,,179.409,737.565,150.485,70.38,65.58,16.6838,56.9844,0.471195,6.8584,168.447,8.45007,2.85861,2.95601,0.836937,0.228382,0.0772602,0.15112178772687912,0.223364,1.1564,0.273851,0.744597,,,3.5338,3.81785,4.30958,50.599998474121094,,,,,,,869.5000000000002,4.857541899441342,818,4.569832402234637,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"George Kirby","SEA",11.2914,8.45712,12.4118,3.64975,27.791,27.791,0,0,,163.91,666.856,146.803,71.02,66.47,20.0743,32.6396,0.441835,6.00038,158.65,8.7112,1.79218,4.86067,1.10224,0.237908,0.0489455,0.18896257504820824,0.233682,1.09476,0.281938,0.716424,,,3.49866,3.81367,3.18006,65.73999786376953,,,,,,,786.4000000000001,4.795121951219513,761,4.640243902439025,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Joe Ryan","MIN",10.6606,9.40811,13.0892,3.76006,27.993,27.993,0,0,,168.125,682.834,139.451,74.94,70.24,25.3117,39.4728,0.433025,7.36014,185.018,9.90431,2.11304,4.68722,1.35498,0.270956,0.0578073,0.213148545473814,0.219262,1.06423,0.268139,0.724689,,,3.72705,3.73486,3.01264,79.73999786376953,,,,,,,806.3000000000001,4.799404761904762,747,4.446428571428571,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Dylan Cease","TOR",11.5627,8.8167,12.5162,3.72015,28.971,28.971,0,0,,168.114,698.184,135.407,74.41,69.49,22.05,62.2389,0.581993,5.72643,202.438,10.8375,3.33197,3.2526,1.18045,0.28995,0.089144,0.20080552995204926,0.214858,1.17567,0.279391,0.738932,,,3.64473,3.55024,3.11959,74.7300033569336,,,,,,,821.5999999999999,4.89047619047619,754,4.488095238095238,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",12.3447,9.16033,15.6761,3.6499,28.68,28.68,0,0,,185.972,778.851,166.986,81.39,75.42,16.7509,63.829,0.519245,9.0283,168.802,8.16908,3.08897,2.6446,0.810647,0.216732,0.0819528,0.13477952033281326,0.236527,1.24113,0.28867,0.720594,,,3.66602,3.42033,3.55871,84.66999816894531,,,,,,,852.1000000000001,4.5811827956989255,828,4.451612903225806,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
