"","Name","ER_total","HLD_total","SV_total","L_total","BB_total","SO_total","W_total","IP_total","H_total","FPTS"
"1","A.J. Block",5.61700917229462,0,0,0.611392413771724,4.94997915196947,8.54251392477102,0.422179515311917,9.769952,9.80028,11.4896666312927
"2","A.J. Causey",9.86174306986142,0.43982164794785,0,2.08149358064426,7.53370571205072,15.9937409774437,1.86622424011969,19.755972,19.28468,29.1688897405167
"3","A.J. Minter",19.0532929453656,14.611783414936,1.6572071066171,2.42156315692431,17.6164947642578,55.6626893460088,3.3013829386469,50.18592,40.8688,148.897810617423
"4","A.J. Puckett",5.42318873672991,0,0,1.01122542182665,4.3283826340964,6.97046459153496,0.627733950736868,9.83613,10.00772,10.5293915417992
"5","A.J. Puk",15.5503254274172,1.6595789882977,5.78097955316467,1.87351568449632,13.7891127668342,48.4076281407181,2.8423542826682,41.23928,34.44016,126.957277457812
"6","AJ Blubaugh",29.328346837309,1.10265088015447,0,3.42481155245669,24.8815620091581,55.2006833333711,3.12992417403053,59.63736,55.68618,96.5038546530517
"7","AJ Smith-Shawver",9.97641554547668,0.817274900613148,0,1.19190024850585,9.08322005583961,24.371581192235,1.22054434555479,22.767766,20.570226,44.7604400407662
"8","Aaron Ashby",32.4275919209985,12.7924580633005,0.936283759158959,3.8399280677245,39.746937055091,84.402111614996,4.46044772162554,80.69532,69.94038,183.452944948106
"9","Aaron Brooks",9.7732788931052,0,0,1.01437783203134,5.7243800423462,9.47862881868384,0.834508940773684,16.66401,19.62864,14.2113432076119
"10","Aaron Brown",9.78040235867073,0,0,1.41610228620908,6.14075519513123,10.6538044093002,0.833588171505084,17.513032,19.62552,16.7007922674195
"11","Aaron Bummer",23.2112176879896,11.311632218549,0.0359185937126169,2.35193328972291,22.0896075382854,58.8571306206098,3.1541430372867,57.8492,53.61814,134.681824607134
"12","Aaron Civale",64.6741520007514,0,0.00703588681619049,7.90246095592389,39.5467759175643,104.801167674148,6.71853632915715,122.8764,122.065,180.137617935629
"13","Aaron Davenport",12.9386673459315,0,0,1.41687988072624,10.807253341732,17.2927376148533,1.03890706130318,23.640622,24.416,26.3580699424122
"14","Aaron Nola",76.1835050963873,0,0,9.48761466702722,44.844535505813,161.516803422948,10.4224249482969,165.3758,156.6412,305.6610782869
"15","Aaron Rozek",10.7460980645669,0,0,0.813074267513815,6.33469409933645,13.3888626136708,0.629297117169609,19.498492,21.01008,22.6798140845121
"16","Aaron Wilkerson",13.7142992484062,0,0,1.21559733227674,5.71006076935411,16.5029908681265,0.834316221624442,25.94231,29.62492,30.8037793806554
"17","Abdiel Mendoza",7.78373828178664,0,0,1.01282264299703,5.93572852114195,11.2544142144185,0.834637420206513,15.041374,15.00702,19.5119406841223
"18","Abner Uribe",23.2401807341868,8.98930479243724,18.2218700667777,2.46989799899943,31.4231824396871,81.6691183755082,3.69591379798681,68.96752,51.60796,270.600165984185
"19","Adam Kloffenstein",10.3395890227267,0,0,1.0103847791054,8.36312119236949,15.7806847257048,1.04042740125831,19.582274,18.98972,26.5555727321878
"20","Adam Laskey",8.20204262995953,0,0,1.01591200499763,5.74097189658563,9.67714998819592,0.833609584743888,14.808254,17.0394,14.5528499911837
"21","Adam Macko",14.2338990124207,0.39680176877785,0,1.70554592647528,12.2996063919052,25.1666998930538,1.65876874431873,28.25932,26.8883,42.9890046495499
"22","Adam Mazur",11.7225249311024,0,0,1.61559846887592,7.34271356472373,17.4818932825234,1.45222149574996,24.06,25.21562,33.3317559093429
"23","Adam Ottavino",4.42694087640222,0,0,0.610740915662754,4.73513814480584,10.1344674297115,0.628033736080133,9.9193792,8.3874,17.950770772936
"24","Adam Plutko",9.57993208465338,0,0,1.4118150083307,4.90667944023918,9.10473912381235,0.833288386161818,16.260038,18.81974,13.8415162699287
"25","Adam Seminaris",10.7451224736763,0,0,1.41412677581414,6.94413652424616,13.3858424501422,1.04166936910899,20.437736,22.81692,22.7028341651331
"26","Adam Tulloch",6.61348659243358,0,0,0.412169439989296,6.98340070146983,8.72772447398326,0.421215919565707,11.651024,12.0047,11.4838155467991
