"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2025-05-15","93.4","2.18","5.38","Wrobleski, Justin",640902,680736,"field_out","hit_into_play",,,,,5,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","X",6,"ground_ball",2,2,2025,"-0.11","0.69","0.28","2.83",,,,2,9,"Top",113.84,152.33,,,,,-4.595679180302313,-136.12546647663592,-2.3802482559852765,-0.45367002065038364,27.155989806844946,-23.20233510054855,"3.53","1.64",5,"106.9",-27,"92.3",2569,"5.3",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.16",0.126,0.08,"0",1,0,0,2,81,7,"Cutter",19,2,2,19,2,19,2,19,"Standard","Standard",158,"0","-0.219","71.0","7.4",0.137,"0.219","106.9",17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"1.89","-0.11","0.11","29.8",3.4044575860600665,5.828972864347836,25.86154612130981,39.85059005629587,19.520439267937086
"FF","2025-05-15","96.8","1.94","5.49","Wrobleski, Justin",640902,680736,,"ball",,,,,8,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","B",,,1,2,2025,"0.63","1.43","-0.12","1.61",,,,2,9,"Top",,,,,,,-6.82723230328431,-140.72003799317253,-8.001872706093073,9.803347574139417,29.983040237567913,-11.46729890148999,"3.43","1.63",,,,"95.7",2538,"5.6",777946,687221,571771,808975,571970,500743,624424,621035,681546,"54.9",,,,,,,,81,6,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Standard","Standard",141,"0","0.039",,,,"-0.039",,17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"0.99","0.63","-0.63","36.0",,,,,
"FF","2025-05-15","96.8","1.75","5.59","Wrobleski, Justin",640902,680736,,"foul",,,,,6,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","S",,,1,2,2025,"0.6","1.37","0.33","2.9",,,,2,9,"Top",,,,,,,-5.073569925028782,-140.8863139083411,-4.677109243420136,9.189388354653987,32.57092778586949,-13.018532813750875,"3.53","1.64",172,"80.4",67,"95.2",2475,"5.4",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.12",,,,,,,,81,5,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Standard","Standard",145,"0","0","71.5","7.5",,"0","88.0",17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"1.06","0.6","-0.6","38.5",7.4275975889477905,6.653903174045425,26.237524761537312,42.81627782911392,21.005439325549084
"FF","2025-05-15","96.5","1.92","5.6","Wrobleski, Justin",640902,680736,,"foul",,,,,14,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","S",,,1,2,2025,"0.56","1.47","0.89","2.29",,,,2,9,"Top",,,,,,,-3.9551995552496995,-140.33501780958792,-6.44814723284917,8.366899969935462,32.654524806905854,-11.540133128653666,"3.53","1.64",203,"74.1",23,"94.8",2479,"5.4",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.08",,,,,,,,81,4,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Standard","Standard",137,"0","0","64.2","7.4",,"0","88.0",17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"0.99","0.56","-0.56","38.7",-7.179959014084205,19.50388734349923,29.12694840746665,49.74350462609245,8.033778887048195
"FF","2025-05-15","95.1","2.11","5.52","Wrobleski, Justin",640902,680736,,"swinging_strike",,,,,3,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","S",,,1,1,2025,"0.41","1.46","0.53","3.51",,,,2,9,"Top",,,,,,,-4.947092446036139,-138.4932172933271,-2.8470473250589903,6.385322072413628,31.336990480811203,-12.95309673494051,"3.53","1.64",,,,"93.5",2407,"5.3",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.16",,,,,,,,81,3,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Standard","Standard",140,"0","-0.064","66.2","6.7",,"0.064",,17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"1.06","0.41","-0.41","36.7",-3.2858468101036564,32.61396869972928,26.178636777374074,45.81665785658086,1.0318471739295996
"FC","2025-05-15","91.7","2.25","5.31","Wrobleski, Justin",640902,680736,,"swinging_strike",,,,,5,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","S",,,1,0,2025,"0.07","1.18","0.22","2.94",,,,2,9,"Top",,,,,,,-5.196712282245064,-133.5443227039333,-2.680019227853606,1.9390360599552898,28.265423252021826,-17.669626018636915,"3.53","1.64",,,,"90.5",2480,"5.5",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.02",,,,,,,,81,2,"Cutter",19,2,2,19,2,19,2,19,"Standard","Standard",146,"0","-0.051","73.8","7.8",,"0.051",,17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"1.52","0.07","-0.07","31.9",9.117416431119377,8.469440207086139,24.896522575916592,44.48789066134352,19.97748507815225
"FF","2025-05-15","94.8","2.1","5.53","Wrobleski, Justin",640902,680736,,"ball",,,,,12,"Jhonny Pereda grounds out sharply, shortstop Miguel Rojas to first baseman Enrique Hernández.","R","R","L","LAD","ATH","B",,,0,0,2025,"0.59","1.54","0.76","3.93",,,,2,9,"Top",,,,,,,-4.73578943378409,-138.02342026265745,-1.8955054115785823,8.676086251374853,32.80448914417858,-12.404228658490863,"3.66","1.71",,,,"93",2442,"5.3",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.16",,,,,,,,81,1,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Infield shade","Standard",144,"0","0.04",,,,"-0.04",,17,-17,"1","0",24,29,25,29,2,0,37,4,22,1,"1.01","0.59","-0.59","35.2",,,,,
"SI","2025-05-15","95.6","2.04","5.37","Wrobleski, Justin",664913,680736,"field_out","hit_into_play",,,,,8,"Seth Brown grounds out to first baseman Enrique Hernández.","R","L","L","LAD","ATH","X",3,"ground_ball",2,2,2025,"1.22","0.84","0.11","1.74",,,,1,9,"Top",156.85,168.69,,,,,-7.674500123380389,-138.97989048162702,-5.761742102996703,17.47901494896656,29.19578361733387,-20.19203484928742,"3.66","1.75",2,"83.3",-43,"94.2",2159,"5.4",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.13",0.094,0.092,"0",1,0,0,2,80,5,"Sinker",19,2,2,19,2,19,2,19,"Infield shade","Standard",146,"0","-0.225","71.0","7.1",0.109,"0.225","88.0",17,-17,"1","0",24,32,25,33,2,3,37,4,22,3,"1.65","1.22","1.22","31.9",3.2046164316041867,-4.08875081233673,35.80909117715999,35.045234491166966,26.954862213022203
"SL","2025-05-15","87.7","2.14","5.56","Wrobleski, Justin",664913,680736,,"ball",,,,,13,"Seth Brown grounds out to first baseman Enrique Hernández.","R","L","L","LAD","ATH","B",,,1,2,2025,"-0.39","-0.03","-0.31","1.34",,,,1,9,"Top",,,,,,,-5.038370994876717,-127.63061976976272,-3.9772944976816444,-3.3052551389963725,24.93888174567736,-31.956842489320593,"3.66","1.71",,,,"86.4",2489,"5.3",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.19",,,,,,,,80,4,"Slider",19,2,2,19,2,19,2,19,"Infield shade","Standard",298,"0","0.043",,,,"-0.043",,17,-17,"1","0",24,32,25,33,2,3,37,4,22,3,"2.98","-0.39","-0.39","37.5",,,,,
"FF","2025-05-15","96.1","2.04","5.6","Wrobleski, Justin",664913,680736,,"ball",,,,,11,"Seth Brown grounds out to first baseman Enrique Hernández.","R","L","L","LAD","ATH","B",,,0,2,2025,"0.7","1.17","-0.49","4.1",,,,1,9,"Top",,,,,,,-8.118993265572776,-139.7662852299189,-1.0588479069649719,10.974708116744551,29.123298956148844,-16.698814096825824,"3.59","1.66",,,,"94.5",2514,"5.2",777946,687221,571771,808975,571970,500743,624424,621035,681546,"55.27",,,,,,,,80,3,"4-Seam Fastball",19,2,2,19,2,19,2,19,"Infield shade","Standard",142,"0","0.02",,,,"-0.02",,17,-17,"1","0",24,32,25,33,2,3,37,4,22,3,"1.28","0.7","0.7","44.4",,,,,
