"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2025-07-13","88.1","0.96","6.3","Cameron, Noah",682668,702070,"single","hit_into_play",,,,,6,"Luisangel Acuña singles on a ground ball to shortstop Bobby Witt Jr.","R","R","L","KC","NYM","X",6,"ground_ball",1,0,2025,"-0.11","0.62","0.4","2.24",,,,2,7,"Top",114.32,151.18,,,,,-1.1371973411581704,-128.373909720458,-5.1404883703451825,-0.9946086200369687,22.590275130570316,-24.480139141328213,"3.32","1.55",33,"102.4",-2,"88.5",2486,"6.1",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.37",0.38,0.42,"0.9",1,1,0,2,50,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",176,"-0.02","0.293","76.3","8.0",0.427,"-0.293","102.4",2,-2,"0.88","0.12",25,23,26,23,3,2,6,1,8,7,"2.27","-0.11","0.11","56.8",10.785566335530705,0.5821651407916547,23.77143558516107,39.157507242791624,30.131127719495993
"SL","2025-07-13","88.3","2.73","6.2","Ray, Robbie",606192,592662,"field_out","hit_into_play",,,,,2,"Teoscar Hernández flies out to right fielder Mike Yastrzemski.","R","R","L","SF","LAD","X",9,"fly_ball",2,0,2025,"-0.08","0.92","-0.09","3.59",,,,2,6,"Top",176.52,123.46,,,,,-6.6614940099715785,-128.67123512456212,-2.295674371355149,0.23453689213041293,21.301900418880365,-21.553908894170046,"3.61","1.66",228,"85.1",55,"88.6",2329,"5.9",777119,672275,527038,669477,656305,642715,671218,808982,573262,"54.57",0.011,0.01,"0",1,0,0,3,42,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",140,"0.008","-0.363","71.7","7.3",0.011,"0.363","88.0",-2,2,"0.24","0.76",33,32,34,33,3,2,5,1,7,5,"1.95","-0.08","0.08","43.3",3.5797896791786745,11.299467161513979,24.902405705956113,37.24782943673458,25.857562594980173
"SL","2025-07-13","81.6","1.12","6.44","Cameron, Noah",682668,702070,,"ball",,,,,12,"Luisangel Acuña singles on a ground ball to shortstop Bobby Witt Jr.","R","R","L","KC","NYM","B",,,0,0,2025,"-0.31","-0.27","0.31","3.91",,,,2,7,"Top",,,,,,,-1.2096254485294655,-119.01678671449116,1.2629212688168847,-2.778727000329659,18.851303413129116,-35.18161668780385,"2.9","1.26",,,,"82.2",2604,"6.1",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.36",,,,,,,,50,1,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",300,"0","0.04",,,,"-0.04",,2,-2,"0.88","0.12",25,23,26,23,3,2,6,1,8,7,"3.63","-0.31","0.31","61.5",,,,,
"FC","2025-07-13","88","2.4","6.05","Springs, Jeffrey",680718,605488,"home_run","hit_into_play",,,,,8,"Addison Barger homers (13) on a fly ball to right center field. Vladimir Guerrero Jr. scores.","R","L","L","ATH","TOR","X",,"fly_ball",2,0,2025,"-0.03","0.91","-0.18","2.13",,,665489,2,7,"Top",175.92,24.11,,,,,-6.1985493003946335,-127.95276294678504,-5.308463149211728,0.9309056112507837,25.258445937596772,-21.278393360823635,"3.72","1.65",448,"107.9",23,"88.1",2214,"6.3",777116,642851,701762,691777,570482,805779,691016,672016,671732,"54.22",0.96,2,"2",1,0,3,6,51,3,"Cutter",6,1,1,6,3,6,3,6,"Infield shade","Standard",148,"-0.044","2.139","80.2","7.8",3.437,"-2.139","107.9",5,-5,"0.982","0.018",32,25,33,26,3,2,5,1,7,5,"2.03","-0.03","-0.03","42.6",4.912485349341442,-7.807066632075169,30.431121706086806,35.449744392947444,37.84413036622884
"CH","2025-07-13","85.9","2.82","6.21","Ray, Robbie",606192,592662,,"ball",,,,,14,"Teoscar Hernández flies out to right fielder Mike Yastrzemski.","R","R","L","SF","LAD","B",,,1,0,2025,"0.96","0.99","0.03","1.22",,,,2,6,"Top",,,,,,,-8.47758399626186,-124.76880693509369,-7.576186197020047,11.640336767724566,21.42375619962263,-20.514839767090653,"3.72","1.66",,,,"85.6",1576,"5.9",777119,672275,527038,669477,656305,642715,671218,808982,573262,"54.61",,,,,,,,42,2,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",154,"0","0.068",,,,"-0.068",,-2,2,"0.24","0.76",33,32,34,33,3,2,5,1,7,5,"2.07","0.96","-0.96","47.0",,,,,
"FF","2025-07-13","91.7","2.39","5.28","Imanaga, Shota",519317,684007,"field_out","hit_into_play",,,,,2,"Giancarlo Stanton flies out to right fielder Seiya Suzuki.","R","R","L","NYY","CHC","X",9,"fly_ball",3,2,2025,"0.98","1.36","0.13","3.36",,,,2,7,"Bot",167.83,66.68,,,,,-7.808182951164216,-133.1241693780998,-1.8229075894705946,13.455953372792942,33.74571504131956,-15.977097752317508,"3.77","1.77",344,"99.5",42,"90.8",2301,"6.3",777122,608348,683737,663538,807713,621020,664023,691718,673548,"54.18",0.069,0.128,"0",1,0,0,3,54,6,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",141,"-0.01","-0.325","81.6","8.0",0.252,"0.325","99.5",-3,-3,"0.075","0.075",31,35,32,36,3,2,5,1,6,5,"1.4","0.98","-0.98","35.5",7.88244600657636,5.942302877037482,17.076697585385315,44.21665377187281,18.3941822145624
"CH","2025-07-13","84.4","1.59","6.2","Cameron, Noah",620443,702070,"grounded_into_double_play","hit_into_play",,,,,6,"Luis Torrens grounds into a double play, third baseman Maikel Garcia to second baseman Jonathan India to first baseman Vinnie Pasquantino. Tyrone Taylor out at 2nd. Luis Torrens out at 1st.","R","R","L","KC","NYM","X",5,"ground_ball",1,1,2025,"0.78","1.43","0.33","2.3",,,621438,0,7,"Top",113.3,176.01,,,,,-4.473075339342497,-122.76800681998257,-5.5667996640312545,8.771494571748239,23.008204004908475,-16.783985694016316,"3.45","1.54",7,"83.3",-18,"84.3",1734,"6.1",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.39",0.057,0.049,"0",1,0,0,2,49,3,"Changeup",2,0,0,2,0,2,0,2,"Standard","Standard",152,"0.115","-0.345","70.1","8.2",0.062,"0.345","88.0",2,-2,"0.765","0.235",25,29,26,29,3,2,6,1,8,5,"1.76","0.78","-0.78","52.1",13.616987565670225,-17.01351658649587,34.0883452208919,41.297366603417245,32.679868713585726
"FC","2025-07-13","90","1.07","6.31","Cameron, Noah",620443,702070,,"ball",,,,,11,"Luis Torrens grounds into a double play, third baseman Maikel Garcia to second baseman Jonathan India to first baseman Vinnie Pasquantino. Tyrone Taylor out at 2nd. Luis Torrens out at 1st.","R","R","L","KC","NYM","B",,,0,1,2025,"-0.47","0.85","-1.4","3.56",,,621438,0,7,"Top",,,,,,,-5.1080786123391615,-130.9393369679782,-2.6342044439156593,-4.3552897099776855,27.993249924776936,-22.09424833679129,"3.38","1.54",,,,"89.8",2520,"6.2",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.3",,,,,,,,49,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",185,"0","0.034",,,,"-0.034",,2,-2,"0.765","0.235",25,29,26,29,3,2,6,1,8,5,"1.97","-0.47","0.47","57.9",,,,,
"SL","2025-07-13","84.3","2.39","6.18","Springs, Jeffrey",680718,605488,,"ball",,,,,11,"Addison Barger homers (13) on a fly ball to right center field. Vladimir Guerrero Jr. scores.","R","L","L","ATH","TOR","B",,,1,0,2025,"-0.32","0.4","-1","3.22",,,665489,2,7,"Top",,,,,,,-7.21516588632008,-122.676859382487,-1.3983702848824202,-2.068340469425056,20.77474588173372,-28.015881447772433,"3.57","1.65",,,,"84.6",2193,"6.1",777116,642851,701762,691777,570482,805779,691016,672016,671732,"54.35",,,,,,,,51,2,"Slider",6,1,1,6,1,6,1,6,"Infield shade","Standard",180,"0","0.05",,,,"-0.05",,5,-5,"0.982","0.018",32,25,33,26,3,2,5,1,7,5,"2.77","-0.32","-0.32","45.1",,,,,
"CH","2025-07-13","86.3","2.86","6.19","Ray, Robbie",606192,592662,,"ball",,,,,14,"Teoscar Hernández flies out to right fielder Mike Yastrzemski.","R","R","L","SF","LAD","B",,,0,0,2025,"0.93","1.34","0.57","1.2",,,,2,6,"Top",,,,,,,-7.252810248123209,-125.391680037822,-8.317507341245022,11.276440486337883,23.419482915276088,-16.53278412178488,"3.61","1.71",,,,"85.8",1750,"5.9",777119,672275,527038,669477,656305,642715,671218,808982,573262,"54.64",,,,,,,,42,1,"Changeup",0,2,2,0,2,0,2,0,"Standard","Standard",146,"0","0.04",,,,"-0.04",,-2,2,"0.24","0.76",33,32,34,33,3,2,5,1,7,5,"1.71","0.93","-0.93","43.2",,,,,
