"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CU","2025-04-02","79.7","-1.95","5.45","Wheeler, Zack",669911,554430,"strikeout","foul_tip",,,,,13,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","S",2,,3,2,2025,"1.29","-0.96","-0.87","2.39",,,,2,7,"Top",,,,,,,-0.06080553200780359,-116.03428761707309,1.9028002375001654,11.6271632070906,23.64755471658091,-41.45159951614506,"3.66","1.82",,,,"80",2794,"6.7",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.82",,0,"0",1,0,0,,49,6,"Curveball",2,1,1,2,1,2,1,2,"Standard","Standard",62,"0.02","-0.325","65.2","7.3",,"0.325",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"4.58","-1.29","1.29","26.6",3.0758729960678584,7.375902877483297,25.070433708444124,48.47982542731367,20.09565922252434
"FF","2025-04-02","95","-1.89","5.26","Wheeler, Zack",669911,554430,,"ball",,,,,11,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","B",,,2,2,2025,"-0.58","1.1","-0.18","4.07",,,,2,7,"Top",,,,,,,5.886273712240219,-138.22952874188255,0.10166142103194376,-8.813425583153185,31.169520042307003,-18.35920837689844,"3.77","1.76",,,,"96.4",2375,"7.1",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.36",,,,,,,,49,5,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",224,"0","0.106",,,,"-0.106",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"1.43","0.58","-0.58","23.6",,,,,
"FF","2025-04-02","95.6","-1.97","5.28","Wheeler, Zack",669911,554430,,"called_strike",,,,,7,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","S",,,2,1,2025,"-0.69","1.26","-0.38","1.8",,,,2,7,"Top",,,,,,,5.8229199406044545,-138.9951231878437,-6.466448906798409,-10.226317149474767,32.64127800437827,-14.634188725326554,"3.84","1.74",,,,"96.8",2413,"7.1",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.37",,,,,,,,49,4,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",227,"0","-0.084",,,,"0.084",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"1.25","0.69","-0.69","23.1",,,,,
"CU","2025-04-02","81","-2.02","5.49","Wheeler, Zack",669911,554430,,"swinging_strike",,,,,14,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","S",,,2,0,2025,"1.31","-1.23","0.03","0.88",,,,2,7,"Top",,,,,,,2.085704226045854,-117.89639075561745,-1.226488758278644,11.632057815599314,25.406790980723756,-43.51098636055933,"3.66","1.82",,,,"81.4",2828,"6.8",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.68",,,,,,,,49,3,"Curveball",2,1,1,2,1,2,1,2,"Standard","Standard",56,"0","-0.061","70.3","9.0",,"0.061",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"4.74","-1.31","1.31","27.5",33.14218890180178,-27.698072830083596,37.01365529585711,39.05463974340829,47.05359202650884
"FF","2025-04-02","98","-2.16","5.38","Skenes, Paul",676609,694973,"strikeout","swinging_strike",,,,,2,"José Caballero strikes out swinging.","R","R","R","TB","PIT","S",2,,3,2,2025,"-1.35","0.83","0.12","2.71",,,,2,7,"Bot",,,,,,,9.377512609016195,-142.44973267437936,-3.665878941892391,-20.569967263602503,31.4131124887042,-20.260160043543483,"2.97","1.39",,,,"98.9",2209,"6.8",778479,682848,669707,624428,663647,643396,502054,665833,669261,"53.75",,0,"0",1,0,0,,54,6,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",244,"-0.023","-0.325","74.1","6.5",,"0.325",,-1,-1,"0.27","0.27",23,28,23,29,3,2,6,2,6,3,"1.55","1.35","1.35","18.2",4.703281681254715,5.782117449071665,34.11150509593684,34.03796947388375,27.52399112673028
"FF","2025-04-02","97.7","-2.04","5.36","Skenes, Paul",676609,694973,,"called_strike",,,,,6,"José Caballero strikes out swinging.","R","R","R","TB","PIT","S",,,3,1,2025,"-1.16","0.79","0.44","2.54",,,,2,7,"Bot",,,,,,,9.408519783773823,-141.93604714660796,-3.927344316903386,-17.850095234616557,31.863110343499148,-20.783147368356488,"3.21","1.39",,,,"98.3",2234,"6.7",778479,682848,669707,624428,663647,643396,502054,665833,669261,"53.84",,,,,,,,54,5,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",242,"0","-0.089",,,,"0.089",,-1,-1,"0.27","0.27",23,28,23,29,3,2,6,2,6,3,"1.6","1.16","1.16","18.9",,,,,
"KC","2025-04-02","80.8","-2.88","5.79","Gallen, Zac",669224,668678,"single","hit_into_play",,,,,14,"Austin Wells singles on a ground ball to right fielder Corbin Carroll.","R","L","R","NYY","AZ","X",9,"ground_ball",2,2,2025,"0.45","-1.11","0.22","1.15",,,,2,7,"Bot",180.7,127.36,,,,,6.097085472017742,-117.46314387780049,-1.4908028745641857,2.8608115676396393,25.015268406389648,-42.23368623504894,"3.39","1.64",22,"101.6",-2,"81.1",2453,"6.8",778484,672515,647304,606466,553993,672695,666971,664983,682998,"53.69",0.38,0.341,"0.9",1,1,0,2,51,5,"Knuckle Curve",0,4,0,4,4,0,0,4,"Infield shade","Standard",41,"0.008","0.37","76.5","8.5",0.427,"-0.37","101.6",-4,-4,"0.037","0.037",29,25,30,26,3,2,6,1,5,2,"4.64","-0.45","0.45","41.3",12.582946787107746,-11.033369386419206,42.18044367899896,32.89256348635396,33.44119960302314
"FS","2025-04-02","86.2","-1.97","5.34","Wheeler, Zack",669911,554430,,"ball",,,,,13,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","B",,,1,0,2025,"-1.2","0.53","-0.34","1.37",,,,2,7,"Top",,,,,,,6.388165452962879,-125.35209285243774,-4.294542043933299,-13.957303958004493,27.10202642520085,-25.88143767332464,"3.74","1.74",,,,"87.1",1497,"7",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.46",,,,,,,,49,2,"Split-Finger",2,1,1,2,1,2,1,2,"Standard","Standard",237,"0","0.068",,,,"-0.068",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"2.56","1.2","-1.2","26.9",,,,,
"FF","2025-04-02","96.7","-2.18","5.44","Skenes, Paul",676609,694973,,"called_strike",,,,,2,"José Caballero strikes out swinging.","R","R","R","TB","PIT","S",,,3,0,2025,"-1.15","0.65","-0.16","2.83",,,,2,7,"Bot",,,,,,,8.038866666359805,-140.6704930158624,-2.910735692608169,-17.094540587403355,29.829314869011473,-23.038551192713772,"3.28","1.49",,,,"97.3",2148,"6.5",778479,682848,669707,624428,663647,643396,502054,665833,669261,"54.02",,,,,,,,54,4,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",243,"0","-0.058",,,,"0.058",,-1,-1,"0.27","0.27",23,28,23,29,3,2,6,2,6,3,"1.77","1.15","1.15","20.6",,,,,
"CU","2025-04-02","80.9","-2.03","5.5","Wheeler, Zack",669911,554430,,"ball",,,,,14,"Michael Toglia strikes out on a foul tip.","R","L","R","PHI","COL","B",,,0,0,2025,"1.27","-0.89","0.05","0.79",,,,2,7,"Top",,,,,,,2.235195600202086,-117.70986944828617,-2.075621045013164,11.1753872738179,25.975052872365662,-40.117817121541265,"3.65","1.66",,,,"81.6",2780,"7.1",778482,592663,547180,624641,664761,607208,596146,679032,592206,"53.35",,,,,,,,49,1,"Curveball",2,1,1,2,1,2,1,2,"Standard","Standard",54,"0","0.04",,,,"-0.04",,1,-1,"0.774","0.226",35,26,35,27,3,2,6,2,6,1,"4.42","-1.27","1.27","28.4",,,,,
